# form	pos	lemma	sense	freq
འབད་མེད			effortless; effortless[ness]
འབད་པ			effort, exertion, endeavor, perserverence, struggle
འབད་རྩོལ			effort, exertion, perseverance; effort, exertion, perseverance, endeavor, struggle
འབད་རྩོམ			undertake the exertion of a task
འབད་འབུང་འབུང			make great and continuous effort
འབད་འབུང་ཆེ་སྐྱེད			great effort and exertion
འབད་པས་འགོག་པ			refutation by one's own efforts [one of the ornaments of refutation]: as that which is to be refuted is unpleasing or undesirable; though the refutation producing outsider wishes to say joy-producing words, he involuntarily passes into joy-reversing words]. refutation by one's own efforts [one of...
འབད་པས་ཀུན་བརྟགས་པ་མ་ཡིན་པ			exertion which is not a false conception
འབད་རྩོད་གྱི་རྟོག་པ			thoughts/ concepts of effort
འབད་པར་འཚལ			exert 1self
འབད་པར་བྱེད་པ			exert 1self
འབད་བཅས་སུ་གྲོལ་བ			liberate w effort
འབད་པ་མི་མངའ་བར་ཡེ་ཤེས་འཇུག་པ			effortlessly enter into wisdom
འབད་པ་དོན་མེད			useless effort
འབད་པ་ཆེན་པོས			1) w unremitting perseverance; 2) by means of the great effort
འབད་པ་དང་བཅས་པ			effortful
འབད་པ་མེད་པར			effortless[ly]
འབད་པ་མེད་པར་ཐར་པར་འགྱུར			be liberated effortlessly
འབད་འབུངས་ནུས			enables you to strenuously apply yourself
འབད་འབུངས་ཐོན			exert themselves
འབད་མེད་དུ			effortlessly
འབད་མེད་པར			effortless[ly]
འབད་མེད་ལྷུན་གྲུབ			effortlessly and spontaneously present; 1) effortlessly and spontaneously present; 2) spontaneous effortlessness
འབད་མེད་ལྷུན་གྱིས་གྲུབ་པ			effortlessly and spontaneously present; 1) effortlessly and spontaneously present; 2) spontaneous effortlessness
འབད་མེད་ལྷུན་གྲུབ་ཏུ་མཛད་པ་གསུམ			the 3-fold effortless and spontaneous action of a buddha
འབད་མེད་ངང་འབྱུང			effortlessly naturally established
འབད་པའི་རྣམ་པ་བསྒོམ་པ			meditate on effort
འབད་དུ་འཛིན་པ			1) grasp effort; 2) the grasper of effort
འབད་བརྩོན་ལྷོད་མེད			constant/ unremitting exertion, effort, struggle, perserverence. not distracted from strenuous effort
འབད་འབད་དུང་དུང			strenuous effort and exertion
འབད་རྩོལ་མེད་པ			effortless; 1) effortless; 2) absence of effort
འབད་རྩོལ་ལྷོད་མེད			constant/ unremitting exertion, effort, struggle, perserverence
འབད་རྩོལ་གྱི་སྤྲོས་པ			complexities of effort
འབག			mask; 1) mask [clay, cotton, ko, paper bse, paper maiche etc.]; 3) image; 4) replica; 5) [dis]guise [past: 'bags, future: dbag],, be defiled, polluted, desecrated. 1) mask; 3) image; 4) replica; 5) [dis]guise [past: 'bags, future: dbag],, be defiled, polluted, desecrated
འབག་འབིག			machine gun
འབག་འབོག			hillock
འབག་འབུག			speaking words very unclearly and shab shub [lkog lab '---s gzhan yid sun]
འབག་འཆམ			masked religious dance
འབག་འདྲ			image, replica
འབག་བཟླས			recitation mixed w ordinary talk
འབག་ཆས			thing w a shape like a face
འབག་གྱོན			wear a mask, use as a pretext
འབག་མགོ			face ornament allowed on the left of the head [mgor gyon chog pa'i gdong brnyan]
འབག་མོ			1) demoness who eats people alive; 2) a bad name for women
འབག་པ			1) pollut[ion]; 2) defile[ment]; 3) soil/ stain; 4) use up; 5) filth; 6) 'bag gyon demon masked dancer
འབག་པོ			demon who eats people alive
འབག་རག			spider
འབག་སྐུ			1) [hollow] figure of clay; 2) image; 3) costume
འབག་བཟོ་བ			1) make a mask; 2) mask-maker
འབག་གེ་འབུག་གེ			speaking words very unclearly and shab shub, lkog lab '---s gzhan yid sun
འབག་གྱོན་པ			wear a mask, use as a pretext
འབག་གྱོན་ཏེ་རྒྱག་པའི་འཆམ			masked religious dance
འབག་གཡོན་པ			1) left of a mask's face; 2) false location; 3) demon face appearing from the left inspiring fright
འབགས			involved in; [past: 'bag],, 1) involved in; 2) entangled in; 3) was defiled/ polluted/ desecrated
འབགས་གོད			gzan rgyag, rgyu cha rnams 'bags god du mi 'gro ba,
འབགས་ལྷག			1) leftover [food]; 2) rest of, remainder, remnant
འབགས་པ			1) defiled, desecrated; 2) polluted; 3) obscured and harmed; 4) use up
འབལ			cut/ pluck hair
འབལ་འབོལ			1) not rare two not hard or stiff
འབལ་བ			1) part; 2) dress; 3) arrange; 4) pluck apart/ out, [pluck feathers, arrange rough wool or hair / arrange braids, part hair, snatch hair apart]
འབལ་གྲོ			grain w mixed wheat and beans.
འབལ་པོ			abundant, plentiful
འབལ་ལེ་བ			many hairs etc. hanging down or disheveled [yak]
འབམ			gout; gout, rheumatism
