# form	pos	lemma	sense	freq
འབར་འབུར			bit by bit, high and low, uneven or undulating ground
འབར་འཛག			spreading (of a kindled glow, glow, a sensation of heightened vitality, of higher awareness), blazes up and flows down, blazing and dripping (the blazing of the solar energy represented by the syllable A and the melting and dripping of the lunar energy symbolized by the syllable HAM in gtum mo an...
འབར་བ			radiance, luminescent, catch fire, become ignited, blaze, glare, burn with wrath, blossom, become notorious, burst into bloom, shining with, to blaze forth
འབར་མདེལ			bomb, bomb
འབར་རྫས			fuel
འབར་རེ			endearment interjection
འབར་ཤིང			match
འབར་བའི་རལ་པ			light
འབར་བའི་རལ་པ་ཅན			lamp
འབར་བཞིན་པ			burning
འབར་ཟིན་པ			burnt
འབར་འཁྲིགས་པ			1 of 8 dur khrod chen po
འབར་བ་ལྡན			epithet of vrhaspati the teacher of the gods
འབར་བ་ར་ཙ			1 of sde brgyad
འབར་བ་ཆེན་པོ			Great Flaming One, Rahula
འབར་འབུར་ཅན			lumpy
འབས་ཅན			rice pap
འབེབས			to make or cause to descend, to bring down
འབེབས་བ			turn down
འབེབས་ཆགས			keeping, laying a thing down, putting a thing away
འབེབས་པ			descend, (let, cast, throw, lay) down, cause to (descend, fall down), assign, settle, fix, establish, bending, to flex, SA tshigs sbyong lnga, leaping
འབེལ་གཏམ			holy discourse, sermon, speech on some sacred subject
འབེལ་མེད			extravagant
འབེལ་པོ			temperate, saving, economical. abundant; rich, temperate, saving, economical. abundant, ample, abound, affluent, bountiful, exuberant, plentiful, plenty, temperate, saving, economical. abundant
འབེལ་པོར་འདོན་པ			gush
འབེལ་དུ་འཇུག་པ			enjoin temperance, frugality
འབེལ་བའི་གཏམ			SA 'bel gtam
འབེལ་མདོག་ཁ་པོ			liberal
འབེལ་པོ་འདུག			frugality has been exercised, there has been economy
འབེལ་པོ་ཡོད་པ			abundance
འབེམ			SA ben
འབེན			target; target, goal
འབེན་བསྣུན			arrow
འབེན་གཟར			field for cultivation
འབེན་ས			place where target is located, the mark, the central part of the target
འབེན་འཛུག་པ			set up a target
འབེན་ལ་གཏོད་པ			aim, take aim
འབི་འབི			small lumps of clay cast into image molds
འབིབ			SA 'bub
འབིབས་པ			SA 'bubs pa
འབིག་པ			pierce, SA 'bigs pa
འབིགས་བྱེད			rat, mouse, 1 of 4 great mountains of jambudvipa, SA ri chen bzhi, chain of hills in india, arrow, thunderbolt, gourd
འབིགས་ལྡན			thunderbolt of indra
འབིགས་པ			pierce, bore, penetrate, pierce into, lie with a woman
འབིགས་ཡོ			vindhya range of hills
འབིགས་བྱེད་ལྷ་མོ			constellation, meteor
འབིར་བ			tremble, shake, quake
འབོ			dou, dry measure for grain and salt, equals 5 bre or 10 pints
འབོ་བ			spill, pour out, pour forth, spill out, swell up, rise, sprout, shoot forth
འབོ་བྲེ			colloquial for measuring vessel
འབོ་ཇ			kind of tea
འབོ་ལེ			without much hurry, at ease, leisurely
འབོ་དྷི་ཙི			rosary, SA bo dhi rtsi
འབོ་ཁ་བ			one who measures grain
འབོབ			descend, SA 'bab pa
འབོབས			SA 'bab pa, soft warm stuffing of the stockings
འབོབས་ཟོན			half sock, foot tie
འབོད			to call out, shout
འབོད་བསྐུལ			appeal, an appeal
འབོད་བྱེད			sweet smell, fragrance
འབོད་བྱོགས			invitation
འབོད་དབྱངས			lament
འབོད་པ			call; call, cry, shout, yell, beckon, evoke, exclaim, cry out, invite, fight, name
འབོད་སྒྲ			exclamation, hullo
འབོད་སྒྲོགས			king of lanka, hero of ramayana epic
འབོད་ཚིག			slogan
འབོད་ཚུལ			name, title
འབོད་པའི་བརྡ			verbal interjection
འབོད་པའི་སྒྲ			interjection, word of invocation
འབོད་སྒྲོགས་ཆེན་པོ			hell of loud howling
འབོད་དུ་འོངས			come to invite, call, guest
འབོད་སྐད་དྲག་པོ			vigorous shout
འབོད་སྐུལ་གཏོང་བ			call on
འབོད་གྲོགས་པ			bawl out, cry out repeatedly
འབོག			kind of upper garment, square cloth for wrapping up and carrying provisions, small hillock, a wild animal
འབོག་ཆོལ			SA sbug chol
