# form	pos	lemma	sense	freq
འབྲས་ཡུམ			fruit Mother (perfection of wisdom)
འབྲས་ཡུམ་ལ་ཉེ་བའི་གཞི་ཤེས			knower of bases that is close to the fruit Mother
འབྲས་ཡུམ་ལ་རིང་བའི་གཞི་ཤེས			knower of bases that is distant from the fruit Mother
འབྲེ་པ			spread out; enveloped
འབྲེལ			join; relate; connect; become connected
འབྲེལ་བ			relationship; join; relate; connect; become connected; relation; related; connectives; related phenomena
འབྲེལ་བ་བརྟག་པའི་རབ་ཏུ་བྱེད་པ			Analysis of Relations, by Dharmakīrti (chos kyi grags pa) P. 5713, vol. 130
འབྲེལ་བ་མེད་པའི་དོན			meaningless; unrelated; non-related things
འབྲེལ་བར་མ་ཡིན་པ			non-connection; not joined; unconnected
འབྲེལ་པ			join; relate; connect; become connected; relation; related; relationship
འབྲེལ་པའི་དབང			power of joining; connecting power
འབྲེལ་པས་སྡུག་བསྔལ་ཉིད			suffering due to connection
འབྲེལ་སྒྲ			[connect-sound]; genitive case
འབྲེལ་ཡུལ			object of relation
འབྲེལ་ཟླ			related object
འབྲེས			spread out; enveloped
འབྲི			diminish; diminishing; grow less; write; dri (the female version of the yak)
འབྲི་བ			diminish; grow less; diminishment(BJ 38.1, quoting MSA)
འབྲི་བ་ལ་བརྟེན་པ			in dependence upon diminishing
འབྲི་བར་མི་འགྱུར			not become diminished; non-diminishment
འབྲི་དང་འཕེལ			diminishment and increase
འབྲི་ཞིང་འཕེལ་བ			diminishment and increase
འབྲིང			medium; middling
འབྲིང་བ			middling; middle; the middle
འབྲིང་གི་འབྲིང			middling of the middling
འབྲིང་གི་ཆེན་པོ			great of the middling
འབྲིང་གི་ཆུང་ངུ			small of the middling
འབྲིང་པོ			middling; middle; the middle
འབྲིང་སྐོར་གསུམ			the three middling cycles
འབྲོག་པ			nomad
འབྲོང			wild yak
འབྲུ			(1) grain [of barley; corn; etc.]; (2) letter
འབྲུ་མར			oil; oil lamp
འབྲུག			thunder; dragon
འབྲུག་གི་སྒྲ་དབྱངས			sound of thunder
འབྲུག་ཡུལ			Bhutan
འབྲུམ་ནག			smallpox
འབུད			(1) set aside; throw out; (2) to blow
འབུགས			pierce
འབུལ			offer; present
འབུམ			100
འབུམ་ཕྲག			100
འབྱང			to be purified; to be cleansed
འབྱངས			to be purified; to be cleansed
འབྱེད			to separate; open; separate; differentiate(BJ); opener(BR)
འབྱེད་པ			to separate; open; separate; differentiate(BJ 34.4); opener
འབྱེད་སྡུད་སྒྲ			separating and connecting particles (?)
འབྱེས་པ			defined (as in “beautifully defined”)
འབྱིན			issue forth; take out; remove; root out
འབྱིན་བྱེད			means of issuing forth
འབྱིན་པ			issue forth; deliverance; produce; well (as in “tears well from the eyes”); take out; remove; root out
འབྱིན་པར་འགྱུར་རོ			issue forth; take out; remove; root out
འབྱིན་པར་བྱེད་པ			issue forth; take out; remove; root out
འབྱོན			come; arrive
འབྱོར			fortune; treasure; acquisitions
འབྱོར་འབྲེལ			yoga; relatedness
འབྱོར་བ			fortune; treasure; acquisitions
འབྱོར་བའི་དུས			time of fortune; time of acquisition
འབྱོར་བའི་ཡེ་ཤེས			exalted wisdom of fortune; exalted wisdom of acquisition
འབྱོར་དང་མཐུན་སྤྱོད་ཡེ་ཤེས			wisdom which acts in accordance with [one's] fortune ?  (T)
འབྱོར་པ			fortune; treasure; acquisitions
འབྱོར་རྒྱུ			cause of fortune
འབྱུག			verb: anoint; apply a salve\n noun: salve; ointment
འབྱུང			to arise; come forth; emerge; occur; appear
འབྱུང་འགྱུར			arisen; arise
འབྱུང་འགྱུར་བ			arisen; arise
འབྱུང་འགྱུར་གྱི་རེག་བྱ			tangible object arisen from elements; tangible object arisen from the elements; tangible object that is an elemental evolute
འབྱུང་འཇུག་བྱས་པས་འབྱེད་པ			open by causing insertion and retraction
འབྱུང་བ			element; arising; creature; arise; come forth; emerge; appear
འབྱུང་བ་ཆེ			great element; great arising
འབྱུང་བ་ཆེན་པོ			great element
འབྱུང་བ་ཆེན་པོ་བཞི་པོ་དག			the four great elements
འབྱུང་བ་ལྷག་མ་རྣམས			the remaining elements  (T)
འབྱུང་བ་མ་མཆིས་པ			not arise; non-arising; not come forth
འབྱུང་བ་མཆིས་པ			arise; arising; come forth
འབྱུང་བ་མེད་པ			not arise; non-arising; not come forth
འབྱུང་བ་ཡིན			arise; come forth; is arisen
འབྱུང་བའི་བྱེ་བྲག			certain [physical] elements
འབྱུང་བའི་བྱེད་རྒྱུ			creative cause of arising
འབྱུང་བར			arising; arisen
འབྱུང་བར་འགྱུར			arises; arising; will arise; which is an element(D1)
འབྱུང་བར་འགྱུར་བ			arises; arising; will arise; which is an element
འབྱུང་བར་གྱུར་པའི་རེག་བྱ			tangible object which is an element; elemental tangible object
འབྱུང་བས་བྱས་པ			made with elements  (T)
འབྱུང་གནས			[arise-place]; mine (as in “jewel mine”); source; place of origin
འབྱུང་གྱུར			arisen from elements; elemental evolute
འབྱུང་ཁུངས			(1) ablative case; (2) source
འབྱུང་ཉེ་བ			imminent
འབྱུང་པོ			ghost
འབྱུང་པོ་རྣམས་ཀྱི་འཇིགས་པ་སྤང་བ			abandon fear of ghosts
འབྱུང་པོའི་གདོན			demon(s)
འབྱུང་སྟེ			arises; comes forth; emerges
འཆའ			make; construct [e.g., a mudrā]; arrange [e.g., the legs in a meditation posture]; formulate
འཆའ་བར་མཛད་པ			make; construct
འཆབ་པ			concealment
འཆད			(1) to be cut; (2) to explain; to comment
འཆད་འགྱུར་ལྟར			as will be explained
འཆད་བྱེད			explainer; commentator
འཆད་པ			explain; explanation; (1) to be cut; (2) to explain; to comment
འཆད་པ་པོ			lecturer
འཆད་པའི་ཚེ			when explaining/setting forth
འཆད་པར་བྱེད			explain; set forth
འཆད་རིགས་པ			suitable to explain/set forth
འཆད་ཚེ			when explaining/setting forth
འཆགས			to confess; reveal [non-virtue]
འཆགས་པ			to confess; to reveal [non-virtue]
འཆགས་པའི་དུས			time of confession
འཆགས་པར་བྱེད་པ			confess; reveal
འཆལ་བ			faulty
འཆལ་བ་ཚུལ་ཁྲིམས			faulty ethics
